epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.2789,2.4162,3.19923,2.12667,0.01504,0.57801,0.14475,0.04571,2.15936,3.26285,2.10349,0.00018337,0.00018337,0.00018337
2,154.123,1.98577,2.36981,1.67481,0.02201,0.85198,0.2523,0.07991,2.16815,2.79641,1.84073,0.000379614,0.000379614,0.000379614
3,280.958,1.88136,2.05689,1.64554,0.43231,0.41828,0.33797,0.12579,2.21206,2.35298,1.87295,0.000571898,0.000571898,0.000571898
4,432.051,1.86012,1.92015,1.60387,0.53739,0.36003,0.36428,0.13002,2.26962,2.44757,2.00642,0.00076022,0.00076022,0.00076022
5,549.216,1.79249,1.83668,1.58466,0.51476,0.42458,0.39691,0.14926,2.28379,2.21935,1.99361,0.000944582,0.000944582,0.000944582
6,636.883,1.80535,1.79899,1.61734,0.47438,0.4256,0.38419,0.12962,2.19765,2.40386,2.03614,0.00112498,0.00112498,0.00112498
7,739.886,1.77708,1.69424,1.56653,0.41109,0.47649,0.36179,0.12735,2.23741,2.55715,2.04396,0.00130142,0.00130142,0.00130142
8,849.194,1.78274,1.68712,1.58613,0.46159,0.29134,0.29913,0.10348,2.53719,2.64832,2.35271,0.0014739,0.0014739,0.0014739
9,979.718,1.75448,1.64527,1.56004,0.59729,0.40789,0.41867,0.14161,2.40579,2.25473,2.14189,0.00153497,0.00153497,0.00153497
10,1122.6,1.75715,1.59392,1.54367,0.49057,0.42381,0.43617,0.16326,2.23771,2.1343,2.01285,0.00151847,0.00151847,0.00151847
11,1225.52,1.74785,1.56263,1.55377,0.46714,0.33806,0.35607,0.10714,2.53491,2.30812,2.23538,0.00150197,0.00150197,0.00150197
12,1340.8,1.72265,1.59942,1.54789,0.48562,0.51149,0.45561,0.1567,2.24984,2.13316,1.973,0.00148546,0.00148546,0.00148546
